scenario_id,scenario_family,condition,scenario_stratum,repetition,latency_seconds,log_latency
EVAL-038,EVAL-MIS-05,qwen_autonomous_team,synthetic_misconfiguration,3,36.42544051000732,3.5952674456253635
EVAL-039,EVAL-MIS-06,qwen_autonomous_team,synthetic_misconfiguration,3,59.96657175300061,4.093787269513372
EVAL-040,EVAL-MIS-06,qwen_autonomous_team,synthetic_misconfiguration,3,36.17531673502526,3.5883770281122582
EVAL-041,EVAL-CLN-01,qwen_autonomous_team,clean_control,3,36.120646425988525,3.586864625010694
EVAL-042,EVAL-CLN-01,qwen_autonomous_team,clean_control,3,37.76985142802005,3.6315112031190657
EVAL-043,EVAL-CLN-02,qwen_autonomous_team,clean_control,3,35.93554412003141,3.5817268925904204
EVAL-044,EVAL-CLN-02,qwen_autonomous_team,clean_control,3,35.82227263698587,3.578569840655291
EVAL-045,EVAL-CLN-03,qwen_autonomous_team,clean_control,3,35.12561535401619,3.5589306464760044
EVAL-046,EVAL-CLN-03,qwen_autonomous_team,clean_control,3,35.98591302099521,3.583127556903986
EVAL-047,EVAL-CLN-04,qwen_autonomous_team,clean_control,3,36.225206942966906,3.58975520090173
EVAL-048,EVAL-CLN-04,qwen_autonomous_team,clean_control,3,34.723106743971584,3.547405365742156
EVAL-049,EVAL-KEV-A-04,qwen_autonomous_team,recent_kev_0_30,3,63.5384247279726,4.151644836717438
EVAL-050,EVAL-KEV-A-04,qwen_autonomous_team,recent_kev_0_30,3,58.48479244695045,4.068766762271041
EVAL-051,EVAL-KEV-B-04,qwen_autonomous_team,recent_kev_31_60,3,63.2985884329828,4.147863029264567
EVAL-052,EVAL-KEV-B-04,qwen_autonomous_team,recent_kev_31_60,3,70.56960504001472,4.256599528284802
EVAL-053,EVAL-KEV-C-04,qwen_autonomous_team,recent_kev_61_90,3,35.885207551007625,3.580325164647046
EVAL-054,EVAL-KEV-C-04,qwen_autonomous_team,recent_kev_61_90,3,35.41725854203105,3.5671992307717706
EVAL-055,EVAL-CVE-06,qwen_autonomous_team,other_cve,3,63.525585642957594,4.151442748257909
EVAL-056,EVAL-CVE-06,qwen_autonomous_team,other_cve,3,42.60309248697013,3.751926844231386
EVAL-057,EVAL-MIS-07,qwen_autonomous_team,synthetic_misconfiguration,3,36.46947628897033,3.596475644667313
EVAL-058,EVAL-MIS-07,qwen_autonomous_team,synthetic_misconfiguration,3,36.34018071202445,3.5929240357686614
EVAL-059,EVAL-CLN-05,qwen_autonomous_team,clean_control,3,36.17528930900153,3.5883762699700608
EVAL-060,EVAL-CLN-05,qwen_autonomous_team,clean_control,3,35.96587711700704,3.5825706310938674
EVAL-001,EVAL-KEV-A-01,qwen_autonomous_team,recent_kev_0_30,4,66.25078598893015,4.193447328779806
EVAL-002,EVAL-KEV-A-01,qwen_autonomous_team,recent_kev_0_30,4,64.36444295704132,4.164561352635265
EVAL-003,EVAL-KEV-A-02,qwen_autonomous_team,recent_kev_0_30,4,64.21558578705299,4.162245950500963
EVAL-004,EVAL-KEV-A-02,qwen_autonomous_team,recent_kev_0_30,4,68.90548642896465,4.232735803716815
EVAL-005,EVAL-KEV-A-03,qwen_autonomous_team,recent_kev_0_30,4,62.99785289194551,4.14310064473053
EVAL-006,EVAL-KEV-A-03,qwen_autonomous_team,recent_kev_0_30,4,64.68256425700383,4.16949167920759
EVAL-007,EVAL-KEV-B-01,qwen_autonomous_team,recent_kev_31_60,4,65.01874211401446,4.174675568549193
EVAL-008,EVAL-KEV-B-01,qwen_autonomous_team,recent_kev_31_60,4,69.40121731002,4.239904407849128
EVAL-009,EVAL-KEV-B-02,qwen_autonomous_team,recent_kev_31_60,4,70.42697082800441,4.254576298149066
EVAL-010,EVAL-KEV-B-02,qwen_autonomous_team,recent_kev_31_60,4,62.153402574011125,4.1296055642298155
EVAL-011,EVAL-KEV-B-03,qwen_autonomous_team,recent_kev_31_60,4,50.3216129479988,3.9184346656940288
EVAL-012,EVAL-KEV-B-03,qwen_autonomous_team,recent_kev_31_60,4,35.7682317130384,3.577060117132526
EVAL-013,EVAL-KEV-C-01,qwen_autonomous_team,recent_kev_61_90,4,63.155556748999516,4.145600837783622
EVAL-014,EVAL-KEV-C-01,qwen_autonomous_team,recent_kev_61_90,4,68.05391408797004,4.220300245268077
EVAL-015,EVAL-KEV-C-02,qwen_autonomous_team,recent_kev_61_90,4,62.71848879000754,4.138656281204801
EVAL-016,EVAL-KEV-C-02,qwen_autonomous_team,recent_kev_61_90,4,59.4780745600292,4.08560774985127
EVAL-017,EVAL-KEV-C-03,qwen_autonomous_team,recent_kev_61_90,4,67.00461387104588,4.20476148076692
EVAL-018,EVAL-KEV-C-03,qwen_autonomous_team,recent_kev_61_90,4,49.6764284199744,3.905530543333451
EVAL-019,EVAL-CVE-01,qwen_autonomous_team,other_cve,4,61.142059303994756,4.113199997674907
EVAL-020,EVAL-CVE-01,qwen_autonomous_team,other_cve,4,36.79401887295535,3.6053353013391383
EVAL-021,EVAL-CVE-02,qwen_autonomous_team,other_cve,4,90.48397076604306,4.505172716411269
EVAL-022,EVAL-CVE-02,qwen_autonomous_team,other_cve,4,37.97647831501672,3.6369669763618386
EVAL-023,EVAL-CVE-03,qwen_autonomous_team,other_cve,4,35.76890405701124,3.577078914194097
EVAL-024,EVAL-CVE-03,qwen_autonomous_team,other_cve,4,35.77172366803279,3.577157739642312
EVAL-025,EVAL-CVE-04,qwen_autonomous_team,other_cve,4,59.33518114002072,4.083202403948386
EVAL-026,EVAL-CVE-04,qwen_autonomous_team,other_cve,4,36.42120625401731,3.595151194399456
EVAL-027,EVAL-CVE-05,qwen_autonomous_team,other_cve,4,58.128566456987755,4.06265722042496
EVAL-028,EVAL-CVE-05,qwen_autonomous_team,other_cve,4,61.033484532963485,4.1114226403380165
EVAL-029,EVAL-MIS-01,qwen_autonomous_team,synthetic_misconfiguration,4,56.067956784012495,4.0265644690223965
EVAL-030,EVAL-MIS-01,qwen_autonomous_team,synthetic_misconfiguration,4,37.27938435500255,3.6184404755984816
EVAL-031,EVAL-MIS-02,qwen_autonomous_team,synthetic_misconfiguration,4,49.025994449999416,3.892350656425369
EVAL-032,EVAL-MIS-02,qwen_autonomous_team,synthetic_misconfiguration,4,36.203947631962365,3.589168163492835
EVAL-033,EVAL-MIS-03,qwen_autonomous_team,synthetic_misconfiguration,4,44.23133514798246,3.789433477904001
EVAL-034,EVAL-MIS-03,qwen_autonomous_team,synthetic_misconfiguration,4,35.41648180995253,3.5671772996391016
EVAL-035,EVAL-MIS-04,qwen_autonomous_team,synthetic_misconfiguration,4,38.26839993498288,3.6446244886597867
EVAL-036,EVAL-MIS-04,qwen_autonomous_team,synthetic_misconfiguration,4,35.62325097498251,3.5729985419445067
EVAL-037,EVAL-MIS-05,qwen_autonomous_team,synthetic_misconfiguration,4,59.211719244980486,4.081119482517686
EVAL-038,EVAL-MIS-05,qwen_autonomous_team,synthetic_misconfiguration,4,36.4162711710087,3.5950156849559494
EVAL-039,EVAL-MIS-06,qwen_autonomous_team,synthetic_misconfiguration,4,58.32280541097862,4.065993190298231
EVAL-040,EVAL-MIS-06,qwen_autonomous_team,synthetic_misconfiguration,4,37.03469800198218,3.6118552570370324
EVAL-041,EVAL-CLN-01,qwen_autonomous_team,clean_control,4,36.14020134299062,3.5874058563436555
EVAL-042,EVAL-CLN-01,qwen_autonomous_team,clean_control,4,37.97162856903742,3.6368392642651224
EVAL-043,EVAL-CLN-02,qwen_autonomous_team,clean_control,4,35.62182684597792,3.5729585636316648
EVAL-044,EVAL-CLN-02,qwen_autonomous_team,clean_control,4,35.564683725038776,3.571353115274821
EVAL-045,EVAL-CLN-03,qwen_autonomous_team,clean_control,4,35.174690640036715,3.560326808080092
EVAL-046,EVAL-CLN-03,qwen_autonomous_team,clean_control,4,35.84148619603366,3.5791060547702362
EVAL-047,EVAL-CLN-04,qwen_autonomous_team,clean_control,4,35.56801077997079,3.5714466603023953
EVAL-048,EVAL-CLN-04,qwen_autonomous_team,clean_control,4,36.24476290802704,3.590294899360969
EVAL-049,EVAL-KEV-A-04,qwen_autonomous_team,recent_kev_0_30,4,63.146458292991156,4.145456763185587
EVAL-050,EVAL-KEV-A-04,qwen_autonomous_team,recent_kev_0_30,4,59.08435649302555,4.078966193824519
EVAL-051,EVAL-KEV-B-04,qwen_autonomous_team,recent_kev_31_60,4,63.36402132301009,4.148896213342709
EVAL-052,EVAL-KEV-B-04,qwen_autonomous_team,recent_kev_31_60,4,70.18193751503713,4.2510909775687535
EVAL-053,EVAL-KEV-C-04,qwen_autonomous_team,recent_kev_61_90,4,35.348505167028634,3.565256104801479
EVAL-054,EVAL-KEV-C-04,qwen_autonomous_team,recent_kev_61_90,4,36.37096286000451,3.593770732665638
EVAL-055,EVAL-CVE-06,qwen_autonomous_team,other_cve,4,63.03348221402848,4.143666048929449
EVAL-056,EVAL-CVE-06,qwen_autonomous_team,other_cve,4,44.188630132965045,3.7884675191818435
EVAL-057,EVAL-MIS-07,qwen_autonomous_team,synthetic_misconfiguration,4,35.751388065022184,3.5765890953798958
EVAL-058,EVAL-MIS-07,qwen_autonomous_team,synthetic_misconfiguration,4,35.51717466500122,3.5700163728714
EVAL-059,EVAL-CLN-05,qwen_autonomous_team,clean_control,4,37.00849138997728,3.6111473833402234
EVAL-060,EVAL-CLN-05,qwen_autonomous_team,clean_control,4,35.106979166012025,3.558399947344955
EVAL-001,EVAL-KEV-A-01,qwen_autonomous_team,recent_kev_0_30,5,68.64107456296915,4.228891110112079
EVAL-002,EVAL-KEV-A-01,qwen_autonomous_team,recent_kev_0_30,5,67.15694125302252,4.207032286994425
EVAL-003,EVAL-KEV-A-02,qwen_autonomous_team,recent_kev_0_30,5,66.3902925470029,4.195550849213345
EVAL-004,EVAL-KEV-A-02,qwen_autonomous_team,recent_kev_0_30,5,71.19686728299712,4.265448818615643
